1,Andhra Pradesh,2025-07-07 19:02:41,2025-07-07 19:02:41
2,Arunachal Pradesh,2025-07-07 19:02:41,2025-07-07 19:02:41
3,Assam,2025-07-07 19:02:41,2025-07-07 19:02:41
4,Bihar,2025-07-07 19:02:41,2025-07-07 19:02:41
5,Chhattisgarh,2025-07-07 19:02:41,2025-07-07 19:02:41
6,Delhi,2025-07-07 19:02:41,2025-07-07 19:02:41
7,Goa,2025-07-07 19:02:41,2025-07-07 19:02:41
8,Gujarat,2025-07-07 19:02:41,2025-07-07 19:02:41
9,Haryana,2025-07-07 19:02:41,2025-07-07 19:02:41
10,Himachal Pradesh,2025-07-07 19:02:41,2025-07-07 19:02:41
11,Jharkhand,2025-07-07 19:02:41,2025-07-07 19:02:41
12,Jammu and Kashmir,2025-07-07 19:02:41,2025-07-07 19:02:41
13,Karnataka,2025-07-07 19:02:41,2025-07-07 19:02:41
14,Kerala,2025-07-07 19:02:41,2025-07-07 19:02:41
15,Madhya Pradesh,2025-07-07 19:02:41,2025-07-07 19:02:41
16,Maharashtra,2025-07-07 19:02:41,2025-07-07 19:02:41
17,Manipur,2025-07-07 19:02:41,2025-07-07 19:02:41
18,Meghalaya,2025-07-07 19:02:41,2025-07-07 19:02:41
19,Mizoram,2025-07-07 19:02:41,2025-07-07 19:02:41
20,Nagaland,2025-07-07 19:02:41,2025-07-07 19:02:41
21,Odisha,2025-07-07 19:02:41,2025-07-07 19:02:41
22,Punjab,2025-07-07 19:02:41,2025-07-07 19:02:41
23,Rajasthan,2025-07-07 19:02:41,2025-07-07 19:02:41
24,Sikkim,2025-07-07 19:02:41,2025-07-07 19:02:41
25,Tamil Nadu,2025-07-07 19:02:41,2025-07-07 19:02:41
26,Telangana,2025-07-07 19:02:41,2025-07-07 19:02:41
27,Tripura,2025-07-07 19:02:41,2025-07-07 19:02:41
28,Uttar Pradesh,2025-07-07 19:02:41,2025-07-07 19:02:41
29,Uttarakhand,2025-07-07 19:02:41,2025-07-07 19:02:41
30,West Bengal,2025-07-07 19:02:41,2025-07-07 19:02:41
