72,MG Road,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
73,Udyog Vihar,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
74,Cyber City,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
75,Sector 42,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
76,"Sector 44""",37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
77,DLF Phases 1–5 & Cyber Park,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
78,"Sector 18""",37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
79,Medanta (Sector 38),37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
80,Huda City Centre,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
81,Rajiv Chowk,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
82,Sushant Lok Phase 1,37,9,2025-07-07 19:02:41,2025-07-07 19:02:41
83,Koramangala,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
84,Indiranagar,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
85,Whitefield (ITPL / AECS Layout / Brookfield),57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
86,HSR Layout,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
87,JP Nagar,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
88,Marathahalli (Manyata Tech Park),57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
89,Bellandur,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
90,Arekere,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
91,Shanti Nagar,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
92,Hulimavu,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
93,Electronic City (Phase 1 & 2),57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
94,Domlur,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
95,BTM Layout,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
96,Bommanahalli,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
97,Bannerghatta Road,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
98,Wilson Garden / Richmond Town,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
99,Malleshwaram,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
100,Mathikere,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
101,Nagavara / HBR Layout,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
102,Rajarajeshwari Nagar / K R Puram,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
103,Arekere / Doddanekundi / Kundalahalli,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
104,Yelahanka / Hennur Road / Banaswadi / Bommasandra,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
105,Kundalahalli (Skep Coliving Kundanahalli),57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
106,Rajarajeshwarinagar (Shree Sadan),57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
107,AECS Layout — near ITPL / Whitefield,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
108,Richmond Town — central Bangalore,57,13,2025-07-07 19:02:41,2025-07-07 19:02:41
109,Andheri East,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
110,Andheri West,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
111,Navi Mumbai,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
112,Vashi,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
113,Panvel,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
114,Kharghar,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
115,Thane,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
116,Lower Parel,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
117,Borivali,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
118,Borivali West,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
119,Mulund,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
120,Malad (East/West),72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
121,Powai,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
122,Bandra,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
123,BKC,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
124,Dadar,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
125,Vikhroli,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
126,Vile Parle,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
127,Worli,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
128,Churchgate,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
129,Marol,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
130,Santacruz East,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
131,Kurl,72,16,2025-07-07 19:02:41,2025-07-07 19:02:41
132,"Hinjewadi (Phases 1""",73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
133,Viman Nagar,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
134,Baner,73,16,2025-07-07 19:02:41,2025-07-07 19:02:41
