72,Mumbai,16,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
73,Pune,16,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
74,Nagpur,16,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
75,Nashik,16,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
76,Aurangabad,16,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
77,Imphal,17,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
78,Churachandpur,17,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
79,Thoubal,17,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
80,Bishnupur,17,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
81,Jiribam,17,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
82,Shillong,18,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
83,Tura,18,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
84,Jowai,18,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
85,Nongstoin,18,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
86,Williamnagar,18,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
87,Aizawl,19,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
88,Lunglei,19,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
89,Champhai,19,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
90,Kolasib,19,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
91,Serchhip,19,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
92,Kohima,20,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
93,Dimapur,20,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
94,Mokokchung,20,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
95,Mon,20,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
96,Zunheboto,20,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
97,Bhubaneswa,21,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
98,Cuttack,21,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
99,Rourkela,21,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
100,Sambalpur,21,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
101,Berhampur,21,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
102,Chandigarh,22,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
103,Ludhiana,22,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
104,Amritsar,22,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
105,Jalandhar,22,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
106,Patiala,22,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
107,Jaipur,23,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
108,Udaipur,23,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
109,Kota,23,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
110,Jodhpur,23,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
111,Ajmer,23,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
112,Gangtok,24,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
113,Namchi,24,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
114,Pelling,24,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
115,Mangan,24,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
116,Jorethang,24,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
117,Chennai,25,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
118,Coimbatore,25,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
119,Madurai,25,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
120,Tiruchirappalli,25,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
121,Salem,25,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
122,Hyderabad,26,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
123,Warangal,26,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
124,Karimnagar,26,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
125,Khammam,26,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
126,Nizamabad,26,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
127,Agartala,27,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
128,Udaipur,27,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
129,Dharmanagar,27,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
130,Kailashahar,27,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
131,Sonamura,27,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
132,Lucknow,28,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
133,Noida,28,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
134,Varanasi,28,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
135,Agra,28,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
136,Allahabad,28,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
137,Dehradun,29,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
138,Nainital,29,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
139,Haridwar,29,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
140,Rishikesh,29,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
141,Roorkee,29,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
142,Kolkata,30,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
143,Howrah,30,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
144,Durgapur,30,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
145,Siliguri,30,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
146,Asansol,30,,2025-07-07 19:02:41,2025-07-07 19:02:41,1
